doi,num_authors,num_pages,year,categories
10.33232/001c.125461,7,22,2024,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1038/s41550-024-02393-7,10,19,2024,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1007/978-94-007-5606-9_7,1,82,2012,"['astro-ph.EP', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/0004-637X/776/1/48,2,15,2013,"['astro-ph.EP', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/201424109,9,14,2014,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1051/0004-6361/201424110,5,24,2014,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1051/0004-6361/201424111,4,18,2014,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1017/pasa.2018.43,16,23,2018,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.SR']"
10.1051/0004-6361/201118197,3,5,2011,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stz2042,1,16,2019,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/stac262,1,12,2022,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR', '85A05']"
10.1093/mnras/stt764,3,23,2013,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR', '85-04, 85-08, 62-04', 'J.2; G.3; G.4; I.6.8']"
10.1093/mnras/stt1776,2,8,2013,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1086/675262,16,29,2014,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/sty3089,2,9,2018,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stac645,7,19,2022,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR', '85A05']"
10.1007/s10686-022-09880-7,299,48,2022,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/sty674,9,18,2018,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/2041-8213/ac1c0c,4,11,2021,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR', '85A05']"
10.1093/mnras/stac3489,21,26,2022,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1007/s11433-023-2149-y,54,52,2023,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202449786,26,28,2025,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1038/ncomms15003,6,35,2017,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA']"
10.1093/mnras/stz2662,1,9,2019,"['astro-ph.EP', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/stz884,1,8,2019,"['astro-ph.EP', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM']"
10.61977/ati2024008,31,28,2024,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA']"
10.1051/0004-6361/202140667,5,35,2021,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1111/j.1365-2966.2012.21444.x,3,20,2012,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/0004-637X/782/2/60,2,13,2014,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1093/mnras/staa2778,5,7,2020,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/stac2154,1,19,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.3847/2041-8213/ad7e1a,3,7,2024,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1051/0004-6361/201630241,7,15,2017,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1093/mnras/stz3413,6,15,2019,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1093/mnras/stz3601,2,7,2019,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1016/j.newast.2020.101493,2,20,2020,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.3847/1538-4357/acd1e0,4,17,2023,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1093/mnras/stad1988,2,20,2023,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/202347532,3,30,2023,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1093/mnrasl/slad183,3,6,2023,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/stv125,7,12,2015,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-3881/abd5c1,26,39,2020,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/1538-4365/ac2fa1,10,79,2021,"['astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1088/0004-637X/708/2/1760,5,39,2009,"['astro-ph.SR', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stv333,4,7,2015,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/201425196,87,38,2015,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/0004-637X/817/2/139,2,32,2016,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/0004-637X/818/2/105,13,26,2016,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1007/s00159-018-0107-z,3,50,2018,"['astro-ph.SR', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stz440,2,15,2019,"['astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR', '85A05']"
10.1088/1538-3873/ab6069,27,35,2019,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/25c2cfeb.13af6a03,3,21,2020,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/stz628,4,20,2019,"['astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1088/1538-3873/ab99cd,12,19,2020,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/202141449,4,15,2022,"['astro-ph.SR', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stac1065,8,13,2022,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/1538-3873/ac81ed,17,12,2022,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/1538-3873/ac9642,49,20,2022,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1007/s12036-023-09926-y,4,10,2022,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.1051/0004-6361/202245271,5,9,2022,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stad2024,4,12,2023,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR', '85A05']"
10.1007/s11433-023-2197-5,63,48,2023,"['astro-ph.IM', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/2041-8213/ad9b26,10,8,2025,"['astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/201015141,8,22,2010,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.IM', 'astro-ph.SR']"
10.23919/URSIGASS.2017.8105318,14,4,2017,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.SR']"
10.3847/1538-4357/aaa9b7,2,9,2018,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.IM', 'astro-ph.SR']"
10.1089/ast.2018.1895,5,13,2018,"['astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1117/12.926239,85,15,2012,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE']"
10.1051/0004-6361/201526832,5,12,2015,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM']"
10.1088/1475-7516/2016/05/038,10,23,2016,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE']"
10.1088/1475-7516/2018/03/034,2,7,2018,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stz2033,5,22,2019,"['astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.1088/1475-7516/2022/09/035,17,32,2022,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/stad302,12,30,2023,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE']"
10.1146/annurev-astro-082708-101816,2,51,2010,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM']"
10.1088/0004-637X/758/2/103,3,11,2012,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stw2941,5,31,2016,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM']"
10.1117/12.2232432,91,41,2016,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE']"
10.1088/1361-6633/acd2ea,3,55,2023,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE']"
10.1007/s10509-010-0438-3,10,47,2010,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/201833559,107,22,2018,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM']"
10.1016/j.ascom.2019.04.001,5,11,2019,"['astro-ph.HE', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM']"
10.3847/1538-3881/ac460a,2,21,2022,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE']"
10.1051/0004-6361/202142484,106,29,2022,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.HE', 'astro-ph.IM']"
10.1038/s41550-024-02303-x,3,13,2024,"['astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'astro-ph.IM']"
10.3847/1538-3881/ab8192,3,21,2020,"['astro-ph.EP', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.SR']"
10.1093/mnras/stt1115,5,12,2013,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.SR']"
10.1016/j.icarus.2012.11.018,1,27,2011,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.EP', 'astro-ph.GA']"
10.1051/0004-6361/201118646,20,21,2012,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.IM', 'astro-ph.SR']"
10.1007/s11214-017-0395-z,6,59,2017,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.IM', 'astro-ph.SR']"
10.1017/S1743921317002496,8,8,2017,"['astro-ph.SR', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.IM']"
10.1088/1742-6596/1225/1/012019,1,8,2019,"['astro-ph.IM', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.SR']"
10.3847/1538-4357/ab5186,2,25,2019,"['astro-ph.GA', 'astro-ph.CO', 'astro-ph.IM', 'astro-ph.SR']"
