doi,num_authors,num_pages,year,categories
10.1093/mnras/stac2831,2,8,2023-09-27 11:57:18+00:00,"['astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/acae8d,22,8,2022-12-30 22:06:41+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
,13,8,2024-03-23 13:50:08+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
,1,8,2024-12-03 03:27:47+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1088/1538-3873/ac4811,19,8,2021-07-01 18:00:03+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.SR']"
10.1093/mnras/stad981,3,8,2023-04-04 23:38:03+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1038/s41550-023-02188-2,31,8,2024-02-10 16:21:51+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1093/mnras/stx837,25,8,2017-04-01 02:33:44+00:00,"['astro-ph.HE', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1088/1538-3873/ad77f3,21,8,2024-11-06 17:30:09+00:00,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.HE']"
10.1016/j.newar.2009.02.001,2,8,2009-02-03 12:44:58+00:00,"['astro-ph.CO', 'astro-ph.EP', 'astro-ph.HE', 'astro-ph.IM']"
10.1111/j.1745-3933.2010.00945.x,3,8,2010-09-29 10:50:22+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
,2,8,2013-02-13 22:26:27+00:00,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.1088/0004-637X/813/2/100,7,8,2015-10-02 22:30:44+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
,22,8,2015-10-26 20:53:49+00:00,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
